dataset,lr,dropout,n_blocks,metric,test_mean,test_std,n_seeds,val_ndcg20_mean,val_ndcg20_std
toys_and_games,0.0003,0.8,2,recall@20,0.08316666666666667,0.0010969655114602883,3,0.04892315175372225,0.0015885319692491265
toys_and_games,0.0003,0.8,2,recall@5,0.039799999999999995,0.0006928203230275507,3,0.04892315175372225,0.0015885319692491265
toys_and_games,0.001,0.2,2,ndcg@10,0.038033333333333336,0.0010066445913694342,3,0.05293520238426336,0.0013244918008484359
toys_and_games,0.001,0.2,2,ndcg@20,0.04466666666666667,0.0008326663997864547,3,0.05293520238426336,0.0013244918008484359
toys_and_games,0.001,0.2,2,ndcg@5,0.031266666666666665,0.0012503332889007364,3,0.05293520238426336,0.0013244918008484359
toys_and_games,0.001,0.2,2,recall@10,0.06803333333333333,0.0010692676621563613,3,0.05293520238426336,0.0013244918008484359
toys_and_games,0.001,0.2,2,recall@20,0.0943,9.999999999999593e-05,3,0.05293520238426336,0.0013244918008484359
toys_and_games,0.001,0.2,2,recall@5,0.04716666666666667,0.0014224392195567937,3,0.05293520238426336,0.0013244918008484359
toys_and_games,0.001,0.5,1,ndcg@10,0.03903333333333334,0.0007505553499465142,3,0.05408956134932381,0.0008258331438882864
toys_and_games,0.001,0.5,1,ndcg@20,0.0457,0.0007211102550927973,3,0.05408956134932381,0.0008258331438882864
toys_and_games,0.001,0.5,1,ndcg@5,0.032,0.0008888194417315594,3,0.05408956134932381,0.0008258331438882864
toys_and_games,0.001,0.5,1,recall@10,0.06956666666666667,0.00055075705472861,3,0.05408956134932381,0.0008258331438882864
toys_and_games,0.001,0.5,1,recall@20,0.09603333333333335,0.0009073771725877438,3,0.05408956134932381,0.0008258331438882864
toys_and_games,0.001,0.5,1,recall@5,0.04773333333333333,0.0011503622617824913,3,0.05408956134932381,0.0008258331438882864
toys_and_games,0.001,0.5,2,ndcg@10,0.03813333333333333,0.0005859465277082325,3,0.05409478896665058,0.000767885997581546
toys_and_games,0.001,0.5,2,ndcg@20,0.04493333333333333,0.0005773502691896263,3,0.05409478896665058,0.000767885997581546
toys_and_games,0.001,0.5,2,ndcg@5,0.031033333333333333,5.7735026918962226e-05,3,0.05409478896665058,0.000767885997581546
toys_and_games,0.001,0.5,2,recall@10,0.06773333333333333,0.0017097758137642844,3,0.05409478896665058,0.000767885997581546
toys_and_games,0.001,0.5,2,recall@20,0.09463333333333333,0.001644181660685139,3,0.05409478896665058,0.000767885997581546
toys_and_games,0.001,0.5,2,recall@5,0.04566666666666667,0.0003055050463303875,3,0.05409478896665058,0.000767885997581546
toys_and_games,0.001,0.5,3,ndcg@10,0.03783333333333333,0.0010066445913694308,3,0.052456757059287235,0.0016929437825593094
toys_and_games,0.001,0.5,3,ndcg@20,0.044500000000000005,0.0011532562594670777,3,0.052456757059287235,0.0016929437825593094
toys_and_games,0.001,0.5,3,ndcg@5,0.031133333333333332,0.0009237604307034017,3,0.052456757059287235,0.0016929437825593094
toys_and_games,0.001,0.5,3,recall@10,0.0674,0.0017349351572897489,3,0.052456757059287235,0.0016929437825593094
toys_and_games,0.001,0.5,3,recall@20,0.0938,0.0021794494717703307,3,0.052456757059287235,0.0016929437825593094
toys_and_games,0.001,0.5,3,recall@5,0.04650000000000001,0.0007810249675906639,3,0.052456757059287235,0.0016929437825593094
toys_and_games,0.001,0.8,2,ndcg@10,0.0289,0.0010535653752852747,3,0.04381144371281772,0.0010462681952810003
toys_and_games,0.001,0.8,2,ndcg@20,0.03493333333333334,0.0006429100507328638,3,0.04381144371281772,0.0010462681952810003
toys_and_games,0.001,0.8,2,ndcg@5,0.023033333333333333,0.0009451631252505212,3,0.04381144371281772,0.0010462681952810003
toys_and_games,0.001,0.8,2,recall@10,0.0529,0.002351595203260968,3,0.04381144371281772,0.0010462681952810003
toys_and_games,0.001,0.8,2,recall@20,0.07686666666666667,0.0019502136635080132,3,0.04381144371281772,0.0010462681952810003
toys_and_games,0.001,0.8,2,recall@5,0.0347,0.0015524174696260051,3,0.04381144371281772,0.0010462681952810003
toys_and_games,0.003,0.2,2,ndcg@10,0.0347,0.0008544003745317532,3,0.04830366115395734,0.0008680811147613493
toys_and_games,0.003,0.2,2,ndcg@20,0.041133333333333334,0.0007371114795831983,3,0.04830366115395734,0.0008680811147613493
toys_and_games,0.003,0.2,2,ndcg@5,0.027433333333333334,0.0006506407098647707,3,0.04830366115395734,0.0008680811147613493
toys_and_games,0.003,0.2,2,recall@10,0.065,0.002271563338320114,3,0.04830366115395734,0.0008680811147613493
toys_and_games,0.003,0.2,2,recall@20,0.0906,0.0018330302779823386,3,0.04830366115395734,0.0008680811147613493
toys_and_games,0.003,0.2,2,recall@5,0.04246666666666666,0.001379613472438324,3,0.04830366115395734,0.0008680811147613493
toys_and_games,0.003,0.5,2,ndcg@10,0.0357,0.0008185352771872443,3,0.05129900554473497,0.001211615186045536
toys_and_games,0.003,0.5,2,ndcg@20,0.042166666666666665,0.0007637626158259703,3,0.05129900554473497,0.001211615186045536
toys_and_games,0.003,0.5,2,ndcg@5,0.029333333333333333,0.0003214550253664319,3,0.05129900554473497,0.001211615186045536
toys_and_games,0.003,0.5,2,recall@10,0.0629,0.0013999999999999985,3,0.05129900554473497,0.001211615186045536
toys_and_games,0.003,0.5,2,recall@20,0.08843333333333332,0.0013576941236277573,3,0.05129900554473497,0.001211615186045536
toys_and_games,0.003,0.5,2,recall@5,0.04306666666666666,0.00020816659994661257,3,0.05129900554473497,0.001211615186045536
toys_and_games,0.003,0.8,2,ndcg@10,0.025233333333333333,0.0013650396819628852,3,0.037601846775722474,0.00022457580751389155
